Lista de Productos,Precios,Descuento,Marca,Supermercado,Image URL,Lista de Productos Normalizados
fideos linguini tottus de 1 kg,S/  5,7%,HERSHEYS,Tottus,,[CLS] fi ##deo ##s li ##ngu ##ini tot ##tus de 1 kg [SEP]
pasta de trigo don vittorio linguini grosso 950 g,S/  5.10,20%,SYRUP HERSHEYS CHOCOLATE X 680 GR,Tottus,,[CLS] pasta de tri ##go don vit ##torio li ##ngu ##ini grosso 950 g [SEP]
pre mezcla galleta de avena con chispas sabor chocolate,S/  9.20,,Por Tottus,Tottus,,[CLS] pre mezcla gall ##eta de ave ##na con chi ##sp ##as sabor chocolate [SEP]
premezcla para keke de plátano sin gluten katzel 466 g,S/  22.90,,KATZEL,Tottus,,[CLS] pre ##mez ##cla para ke ##ke de pl ##áta ##no sin g ##lut ##en kat ##zel 466 g [SEP]
gelatina de fresa tottus de 100 g,S/  3.60,,Premezcla para keke de plátano sin gluten Katzel 466 g,Tottus,,[CLS] gela ##tina de fr ##esa tot ##tus de 100 g [SEP]
harina de trigo sin preparar,S/  7.20,,Por Tottus,Tottus,,[CLS] hari ##na de tri ##go sin preparar [SEP]
pasta de trigo nicolini tallarín grueso bolsa de 950 g,S/  5.90,,TOTTUS,Tottus,,[CLS] pasta de tri ##go nic ##olin ##i talla ##rí ##n gr ##ues ##o bol ##sa de 950 g [SEP]
vinagre de manzana 500 ml,S/  11.10,,Gelatina de fresa Tottus de 100 g,Tottus,,[CLS] vin ##ag ##re de man ##zana 500 ml [SEP]
fideos corbata tottus de 250 g,S/  1.80,,Por Tottus,Tottus,,[CLS] fi ##deo ##s cor ##bata tot ##tus de 250 g [SEP]
ají amarillo molido,S/  10,,BLANCA FLOR,Tottus,,[CLS] aj ##í amarillo mol ##ido [SEP]
gelatina extra de colágeno con sabor a fresa de 30 g,S/  5.30,,Harina de trigo sin preparar,Tottus,,[CLS] gela ##tina extra de col ##ág ##eno con sabor a fr ##esa de 30 g [SEP]
aceite de oliva sabor intenso el olivar 500 ml,S/  29.50,,Por Tottus,Tottus,,[CLS] aceite de oli ##va sabor intenso el oli ##var 500 ml [SEP]
syrup de caramelo hersheys 623 g,S/  24.90,,NICOLINI,Tottus,,[CLS] sy ##rup de cara ##mel ##o her ##she ##ys 623 g [SEP]
pasta linguini don vittorio de 450 g,S/  4.70,,Pasta de trigo Nicolini tallarín grueso bolsa de 950 g,Tottus,,[CLS] pasta li ##ngu ##ini don vit ##torio de 450 g [SEP]
mayonesa alacena 190 g,S/  9.90,,Por Tottus,Tottus,,[CLS] mayo ##nesa ala ##cena 190 g [SEP]
proteína pancake sin sabor amaru superfoods 350 g,S/  24.50,16%,AMARU SUPERFOODS,Tottus,,[CLS] proteína pan ##cak ##e sin sabor amar ##u super ##fo ##ods 350 g [SEP]
kit de paella para 4 raciones,S/  79.90,,Proteína Pancake sin sabor Amaru Superfoods 350 g,Tottus,,[CLS] kit de pa ##ella para 4 ra ##ciones [SEP]
cubo de sabor gallina maggi 8 unidades,S/  4.50,,Por Tottus,Tottus,,[CLS] cu ##bo de sabor gall ##ina mag ##gi 8 unidades [SEP]
fideos de trigo tornillo don vittorio 500 g,S/  4.40,,,Tottus,,[CLS] fi ##deo ##s de tri ##go torn ##illo don vit ##torio 500 g [SEP]
sazonador completo,S/  26.90,,Kit de Paella para 4 raciones,Tottus,,[CLS] sa ##zona ##dor completo [SEP]
