Lista de Productos,Precios,Descuento,Marca,Supermercado
Pastina Codo Chico Nicolini 235g,S/2.25,0,Nicolini,Metro
Pastina Canuto Chico Nicolini 235g,S/2.10,0,Nicolini,Metro
Solido de Atún Florida Lata 140g 48329001,S/5.90,24 %,Florida,Metro
Sopa Ramen Maruchan Sabor Pollo 85g,S/3.40,0,Maruchan,Metro
Sopa Instantánea Ajinomen Sabor Pollo con Verduras 80g,S/1.60,0,Ajinomen,Metro
Caldo de Pescado Doña Gusta Caja 6un,S/1.70,0,Doña Gusta,Metro
Quinua Perlada Superior Incasur Bolsa 250 gr,S/8.70,0,Incasur,Metro
Lentejón Costeño Bolsa 500 g,S/6.10,0,Costeño,Metro
Frijol Castilla Costeño Bolsa 500 g,S/5.60,0,Costeño,Metro
Papa Seca Tesoro Del Campo Bolsa 500 g,S/7.25,0,Tesoro del Campo,Metro
Frijol Panamito Tesoro Del Campo Bolsa 500 g,S/5.60,0,Tesoro del Campo,Metro
Pallar Tesoro Del Campo Bolsa 500 g,S/7.59,0,Tesoro del Campo,Metro
Arveja Verde Tesoro Del Campo Bolsa 500 g,S/3.70,0,Tesoro del Campo,Metro
Arroz Integral Costeño Bolsa 750 g,S/. 5.30,0,Costeño,Metro
Arroz Superior Costeño Bolsa 750 g,S/. 4.10,0,Costeño,Metro
Aceite de Oliva Filippo Berio Extra Virgen 500ml,S/. 21.68,24 %,Filippo Berio,Metro
Aceite de Oliva Extra Virgen Carbonell Botella 1 Lt,S/. 45.90,0,Carbonell,Metro
Aceite de Oliva La Española Extra Virgen Botella 500 ml,S/. 19.90,31 %,La Española,Metro
Aceite de Oliva El Olivar Virgen Botella 200 ml,S/12.90,0,El Olivar,Metro
Aceite de Oliva Extra Virgen Carbonell Botella 250 ml,S/. 15.90,0,Carbonell,Metro
Aceite de Ajonjolí Alida Chiang Botella 60 ml,S/8.99,0,Alida Chiang,Metro
Chicle Trident Sabor Yerbabuena 45.5g,S/9.10,0,Trident,Metro
Chicle Trident Sabor Fresa 45.5g,S/9.00,0,Trident,Metro
Cheetos Mega Queso 90g,S/5.10,0,Frito Lays,Metro
Mezcla de Nueces y Semillas Trunuts Manímix 150g,S/9.90,0,Trunuts,Metro
Fideos Cuisine &Co Linguini 450g,S/4.10,0,cuisine---co,Metro
Sazonador Tuco con Hongos y Laurel La Sazón de Don Benito 63g,S/4.60,0,La Sazón de Don Benito,Metro
Sazonador Ají Panca sin Picante La Sazón de Don Benito 63g,S/1.99,0,La Sazón de Don Benito,Metro
Mayonesa B&D Doypack 190g,S/6.00,20 %,b-d,Metro
Bombones de Chocolate Lindt Lindor 37g,S/9.70,11 %,Lindt,Metro
Tripack Filete de Atún en Aceite Cuisine & Co 170g,S/17.70,0,Cuisine & Co,Metro
Algarrobina Dulce Natura 500g,S/13.90,22 %,Dulce Natura,Metro
Algarrobina Dulce Natura 300g,S/9.50,20 %,Dulce Natura,Metro
Mostaza Dijon French's 340g,S/11.20,19 %,French's,Metro
Ají Criollo Alpesa 380g,S/9.90,0,Alpesa,Metro
Piqueo Sanck Frito Lay 55g,S/2.60,0,Frito Lays,Metro
Papas Fritas en Hojuelas Inka Chips Bembos Clásica 120g,S/8.10,0,Inka Chips,Metro
Arroz Añejo Superior Valle Norte 750g,S/. 4.00,0,Valle Norte,Metro
Frejoles Negros en Conserva Essential Everyday 425g,S/10.70,0,Essential Everyday,Metro
Chifles Crickets Sabor Leche de Tigre 150g,S/7.99,0,Crickets,Metro
Turrón San José 1kg,S/33.90,0,San José,Metro
Sixpack Oblea Dulce Kit Kat 249g,S/15.50,22 %,Kit Kat,Metro
Ají Mirasol en Pasta Cuisine & Co 200g,S/5.90,14 %,Cuisine & Co,Metro
Nabo Encurtido Huerto Mejía 220g,S/9.50,0,Huerto Mejia,Metro
Sopa Instantánea Sabor a Costilla Nissin Ramen 85g,S/1.70,0,Nissin,Metro
Sopa Instantánea Sabor a Camarón Nissin Ramen 85g,S/1.70,0,Nissin,Metro
Curry Hindú en Polvo Cuisine & Co 6g,S/1.99,0,Cuisine & Co,Metro
Anís Entero Cuisine & Co 8g,S/1.40,0,Cuisine & Co,Metro
Maní Tostado Cuisine & Co 100g,S/4.20,0,Cuisine & Co,Metro
Ají Panca Cuisine & Co 10g,S/1.99,0,Cuisine & Co,Metro
Pack x24 Crema Muss Sabor Chocolate Turrón 14g,S/15.10,0,Cremino,Metro
Sazonador de Pop Corn Sabor Mantequilla Costeño Pops 81g,S/10.90,0,Costeño,Metro
Doritos Firto Lay'S 45g,S/2.90,0,Frito Lays,Metro
Vinagre Tinto Cuisine & Co 1L,S/4.60,0,Cuisine & Co,Metro
Berry Mix Original Vallealto 250g,S/12.90,18 %,Vallealto,Metro
Toffee Sabores Surtidos Old England Toffee 100un.,S/15.20,0,Ambrosoli,Metro
Sillao Cuisine & Co 250ml,S/2.80,0,Cuisine & Co,Metro
Pretzel Crunch Cuisine & Co Hearts 200g,S/12.50,10 %,Cuisine & Co,Metro
Halls Yerbabuena Barra 9un,S/1.60,20 %,Halls,Metro
Sal Parrillera Grano Grueso Cuisine & Co 750g,S/6.40,13 %,Cuisine & Co,Metro
Vinagreta AlaCena Mostaza y Pimienta 190g,S/5.50,0,AlaCena,Metro
Gelatina Umsha Sabor Piña 120g,S/3.50,0,Umsha,Metro
Gelatina Umsha Sabor Uva 120g,S/3.50,0,Umsha,Metro
Pasas Morenas Vallealto 250g,S/7.90,0,Vallealto,Metro
Mezcla para Panqueques Waffles y Crepes Cuisine & Co 720g,S/13.90,0,Cuisine & Co,Metro
Harina de Avena Integral Marimiel 300 g,S/13.90,0,Marimiel,Metro
Ajo Molido Piki 1kg,S/24.90,0,Piki,Metro
Achiote Molido Toña 18g,S/2.49,0,Toña,Metro
Pack Ketchup 425 g + Mostaza 220 g,S/7.60,20 %,B&D,Metro
Sazonador Palillo Amarillito Sobre 32.4 g,S/1.05,0,Sibarita,Metro
Sal Gruesa 600 g,S/7.84,20 %,maras-gourmet,Metro
Canela Entera X 8 Grs Toña,S/3.70,0,Toña,Metro
Papas Artesanas Alita Bbq Bolsa 130 g,S/5.60,30 %,frito-lays,Metro
Papas Artesanas Sal Marina Bolsa 135 g,S/5.60,30 %,Frito Lays,Metro
Chifles Salados Crickets 500g,S/19.60,0,Crickets,Metro
Maíz Pop Corn Bolsa 350 g,S/3.40,0,Tesoro del Campo,Metro
Frijol Canario Bolsa 350 g,S/5.60,0,Tesoro del Campo,Metro
Algarrobina Frasco 500 g,S/21.50,0,Olivos del Sur,Metro
Arroz Fortificado Superior Bolsa 5 Kg,S/. 20.90,0,Paisana,Metro
Arroz Superior Bolsa 10 Kg,S/. 35.90,0,Metro,Metro
Vinagre de Sidra de Manzana Orgánico Bragg Botella 946 ml,S/. 39.90,0,Bragg,Metro
Chocolate Oscuro 85% Cacao Dark Tableta 100g,S/14.90,25 %,Belgian,Metro
Chocolate con Leche 44% Cacao Montblanc 190g,S/19.90,0,MontBlanc,Metro
Kétchup Cuisine & Co 400g,S/11.70,0,Cuisine & Co,Metro
Mayonesa Tradicional Cuisine & Co 333g,S/11.90,0,Cuisine & Co,Metro
Chocolate con Leche Triángulo Barra 30 g Caja 10 unid,S/14.90,19 %,Triángulo,Metro
Chocolate Relleno con Crema de Maní Princesa Barra 30 g Caja 10 unid,S/14.90,19 %,Princesa,Metro
Leche Condensada Gloria Doypack 90 g,S/2.99,0,Gloria,Metro
Habas Fritas Cuisine&Co Bolsa 100 g,S/5.40,0,Cuisine & Co,Metro
Galleta de Chocolate con Crema Oreo Paquete 216 g + Galleta de Chocolate Doña Pepa Paquete 138 g,S/7.60,20 %,Oreo,Metro
Tortillas de Maíz Clásica Cuisine & Co Bolsa 65 g,S/2.80,0,Cuisine & Co,Metro
Boliquesos Horneados Cheetos Bolsa 130 g,S/5.20,0,Frito Lays,Metro
Sal de Maras con Ají Panca Cuisine & Co Frasco 80 g,S/13.99,0,Cuisine & Co,Metro
Canchita Serrana Sabor Queso Cuisine & Co Pote 160 g,S/5.52,20 %,Cuisine & Co,Metro
Canchita Andina Cuisine & Co Pote 180 g,S/6.08,20 %,Cuisine & Co,Metro
Crema de Ají Criollo Cuisine & Co Doypack 85 g,S/3.44,20 %,Cuisine & Co,Metro
Cereales Bañados con Chocolate Choco Yogurt 2 Cerritos Bolsa 125 g,S/9.99,0,2 Cerritos,Metro
Sal de Cocina Gruesa Cuisine & Co 1kg,S/1.90,0,Cuisine & Co,Metro
Cocktail de Nueces Villa Natura 250g,S/15.60,0,Villa Natura,Metro
Maní con Pasas sin Sal Villa Natura 250g,S/8.99,0,Villa Natura,Metro
Cancha Chulpi Villa Natura 150g,S/7.10,0,Villa Natura,Metro
Mixtura sin Sal Villa Natura 150g,S/9.90,0,Villa Natura,Metro
Pasion Mix Villa Natura 150g,S/8.90,21 %,Villa Natura,Metro
Cocktail de Nueces Villa Natura 150g,S/7.50,15 %,Villa Natura,Metro
Cocktail de Nueces Villa Natura 250g,S/13.90,0,Villa Natura,Metro
Mixtura sin Sal Villa Natura 250g,S/13.90,0,Villa Natura,Metro
Chicle Sabores Surtidos Fini Ensalada de Frutas Ácidas 80g,S/4.60,6 %,Fini,Metro
Gomitas Sabores Surtidos Fini Ositos 90g,S/4.60,6 %,Fini,Metro
Harina Cuisine & Co Sin Preparar Bolsa 1 Kg,S/6.80,6 %,Cuisine & Co,Metro
Harina Cuisine & Co Preparada Bolsa 1 Kg,S/6.80,6 %,Cuisine & Co,Metro
Grageas de Colores Tronquitos 2 Cerritos Bolsa 125 g,S/7.80,0,2 Cerritos,Metro
Salsa De Mensi Kikko Frasco 350 ml,S/8.50,0,Kikko,Metro
Salsa Casera Molitalia 190g,S/3.90,0,Molitalia,Metro
Cocktail de Nueces Original Vallealto 150g,S/7.70,0,Vallealto,Metro
Cocktail de Nueces Vallealto 200g,S/11.10,0,Vallealto,Metro
Berry Crunch Vallealto 200g,S/9.80,0,Vallealto,Metro
Cocktail de Nueces Original Vallealto 250g,S/12.50,19 %,Vallealto,Metro
Sopa Instantánea Sabor a Gallina Picante Ajinomen Vaso 51 g,S/3.40,0,Ajinomen,Metro
Guindón Sin Pepa Frutos y Snacks Seleccionados Cuisine & Co Bolsa 180 gr,S/9.70,0,Cuisine & Co,Metro
Doritos Flamint Hot Bolsa 100 g,S/4.99,0,Frito Lays,Metro
Cobertura Sabor a Chocolate Bitter Nestlé Tableta 500 g,S/14.90,0,Nestlé,Metro
Esencia De Vainilla Fleischmann Frasco 500 ml,S/17.90,0,Fleischmann,Metro
Galletas De Arroz Cuisine & Co Doypack 120 g,S/6.50,0,Cuisine & Co,Metro
Guindones sin Pepa Villa Natura 200g,S/11.90,0,Villa Natura,Metro
Chocolate Bitter con Maní 41% Cacao Sublime 38g,S/2.50,0,Sublime,Metro
Chocolate Bitter Orquidea 80% Cacao Tableta 90 gr,S/18.50,0,Orquidea,Metro
Salsa para Lomo Saltado Lee Kum Kee Botella 445 ml,S/25.50,0,Lee Kum Kee,Metro
Vinagre de Manzana Olivos Del Sur Botella 500 ml,S/11.60,0,Olivos del Sur,Metro
Crema Chantilly Fleischmann 60g,S/3.25,0,Fleischmann,Metro
Sillao Tito Botella 500 ml,S/4.60,0,Tito,Metro
Sillao Aji-No-Sillao Botella 150 ml,S/2.20,0,Aji-No-Sillao,Metro
Mix Peruano de Snacks Cuisine & Co 175g,S/7.50,15 %,Cuisine & Co,Metro
Camote Frito Cuisine & Co Bolsa 130 gr,S/5.50,11 %,Cuisine & Co,Metro
Ajo Molido Sibarita Sobre 100 g,S/2.99,0,Sibarita,Metro
Fusilli Tricolor La Molisana Paquete 500 g,S/. 7.35,25 %,La Molisana,Metro
Fusilli Integrali La Molisana Paquete 500 g,S/. 6.67,25 %,La Molisana,Metro
Yuca Frita en Hojuelas Veggie Chips Inka Chips Bolsa 125 g,S/8.50,0,Inka Chips,Metro
Chocman Doble Manjar Costa 300g,S/6.60,0,Costa,Metro
Tejas Surtidas Helena Caja 260 g,S/52.90,0,Helena,Metro
Chupete Globo Pop Surtido 24un,S/7.60,0,Globo Pop,Metro
Papas Lays Clásicas Bolsa 210 gr,S/6.50,28 %,Frito Lays,Metro
Pasta Gnocchi Sin Gluten La Molisana Bolsa 500 g,S/. 9.38,24 %,La Molisana,Metro
Maíz Pop Corn Valle Norte Bolsa 500 g,S/5.70,0,Valle Norte,Metro
Arveja Verde Valle Norte Bolsa 500 g,S/4.60,0,Valle Norte,Metro
Durazno En Mitades Arica Contenido 820 g,S/11.90,0,Arica,Metro
Chifles Salados Villa Natura 500g,S/16.90,0,Villa Natura,Metro
Chocolate de Leche Hershey's Kisses 74g,S/11.00,14 %,Hershey's,Metro
Penne Rigate Integral La Molisana Le Integrali 500g,S/. 6.67,25 %,La Molisana,Metro
Manjar Blanco Cuisine & Co Contenido 200 g,S/3.90,11 %,Cuisine & Co,Metro
Filete de Atún Claro Campomar en Aceite Lata 170 gr,S/6.90,0,Campomar,Metro
Pecana Pelada Wong Pote 100 g,S/13.90,0,Wong,Metro
Crema De Alcachofas Provenzal Sobre 70 g,S/4.27,0,Provenzal,Metro
Trigo Mote Maxima Bolsa 500 g,S/3.99,0,Máxima,Metro
Arveja Partida Máxima 500g,S/3.99,0,Máxima,Metro
Maiz Pop Corn Paisana Bolsa 500 g,S/4.19,0,Paisana,Metro
Gomas Grissly Delfin 90g,S/4.60,0,Grissly,Metro
Nueces Peladas Vallealto 90g,S/9.99,0,Vallealto,Metro
Chicle sin Azúcar Sabor Fresa y Limón Trident Splash 9un,S/2.56,20 %,Trident,Metro
Trozo de Atún Real 140g,S/6.10,3 %,Real,Metro
Laurel Sibarita 5 g,S/2.30,0,Sibarita,Metro
Cebolla en Polvo Badía Frasco 2.75 Onzas,S/9.30,0,Badia,Metro
Comino Molido Sibarita Frasco 40 g,S/9.90,0,Sibarita,Metro
Sirope Sabor Maple Spitze Frasco 480 g,S/12.50,0,Spitze,Metro
Dulce de Leche El Manjar Nestlé Bolsa 200 g,S/5.40,0,Nestlé,Metro
Harina Instantánea Molicusco 7 Semillas Bolsa 400 g,S/9.90,16 %,Molicusco,Metro
Polvo de Hornear Universal Sobre 25 g,S/1.70,0,Universal,Metro
Chicles Sabor a Menta Chiclets Caja 12 und,S/1.60,0,Adams,Metro
Chocolate KitKat Tableta 41.5 g,S/4.20,0,Kit Kat,Metro
Cocktail de Frutas Aconcagua En Almíbar Lata 822 g,S/17.90,0,Aconcagua,Metro
Chocolates M&M Peanut Contenido 1.74 oz,S/4.90,0,M&M's,Metro
Chocolate de Leche Snickers 53g,S/3.99,0,Snickers,Metro
Chicle sin Azúcar Menta Fresca Trident 18un,S/2.88,20 %,Trident,Metro
King Kong de Manjarblanco Caja 450 g,S/22.90,17 %,San Roque,Metro
Manjar Blanco Bonlé Bolsa 1 kg,S/18.90,9 %,Bonlé,Metro
Caramelos Sayon Chicha Morada 374g,S/5.99,0,Sayón,Metro
Cobertura Sabor Chocolate con Leche Winter's 600g,S/12.90,25 %,Winters,Metro
Salsa Ocopa Provenzal Sobre 70 g,S/8.90,0,Provenzal,Metro
Sopa Instantánea Maggi Sabor Pollo con Fideos 57g,S/3.10,13 %,Maggi,Metro
Crema Instantánea Maggi Sabor Hongos 65g,S/3.40,12 %,Maggi,Metro
Minisnack Crema De Avellana Vicenzi Contenido 125 g,S/. 10.50,0,Vicenzi,Metro
Manjarblanco Bonlé 250g,S/6.10,0,Bonlé,Metro
Pudin de Vainilla Universal Sobre 100 g,S/3.90,0,Universal,Metro
Pudín Diet Universal de Vainilla Caja 19 g,S/3.90,0,Universal,Metro
Flan de Vainilla en Polvo Royal Sobre 80 g,S/2.28,20 %,Royal,Metro
Mezcla para Apanar Ajinomix Ajinomoto Apanado Sobre 96 g,S/3.10,0,Ajinomoto,Metro
Sillau Kikko Botella 160 ml,S/1.80,0,Kikko,Metro
Sazonador Sazón Completa Badia Frasco 12 Onzas,S/29.50,0,Badia,Metro
Salsa de Tamarindo Alida Chiang Frasco 12 Onzas,S/9.99,0,Alida Chiang,Metro
Sal Rosada de Maras Gruesa Doypack 500 g,S/10.50,0,Cuisine & Co,Metro
Paprika Badia Frasco 2 Onzas,S/9.40,0,Badia,Metro
Nuez Moscada Entera Badia Sobre 14.2 g,S/4.20,0,Badia,Metro
Ketchup Heinz Frasco 20 Onzas,S/21.20,0,Heinz,Metro
Ketchup Heinz Frasco 14 Onzas,S/15.20,0,Heinz,Metro
Aderezo Cantones Sabor Oriental Perú Pride Sobre 85 g,S/5.10,0,Perú Pride,Metro
Maní Natural Karinto 100g,S/4.40,0,Karinto,Metro
Maíz Gigante Original Inka Corn Doypack 100 g,S/4.50,15 %,Inka Corn,Metro
Chifles Salados Veggie Chips 250g,S/10.20,0,Gelce,Metro
Galletas Integrackers Integrackers Quinua 36g 9un,S/10.00,0,Victoria,Metro
Chocolate Pastillas La Ibérica Caja 100 g,S/14.50,0,La Ibérica,Metro
Chocolate Orgánico 72% Cacao Orquídea Tableta 90 g,S/17.40,0,Orquidea,Metro
Bombones La Ibérica Surtidos Caja 150 g,S/24.50,0,La Ibérica,Metro
Toffees de Chocolate La Ibérica Bolsa 150 g,S/13.20,0,La Ibérica,Metro
Marshmellows Tropical Bolsa 255 g,S/12.90,0,Guandy,Metro
Caramelos Cavendish & Harvey Mixed Fruit Drops Lata 200 g,S/. 10.90,0,Cavendish & Harvey,Metro
Fetuccini Extra Espinaca Bolsa 500 g,S/7.55,0,La Montanara,Metro
Sólido de Atún Real en Agua 140g,S/7.20,0,Real,Metro
Choclo Dulce Desgranado Valle Fértil Lata 432 g,S/8.80,0,Valle Fértil,Metro
Sopa a la Minuta Provenzal Sobre 78 g,S/4.44,0,Provenzal,Metro
Frijol Panamito Costeño Bosa 500 g,S/6.00,0,Costeño,Metro
Maíz Pop Corn Tesoro Del Campo Bolsa 500 g,S/4.60,0,Tesoro del Campo,Metro
Arroz Parbolizado Costeño Bolsa 750 gr,S/. 4.70,0,Costeño,Metro
Aceite de Oliva Filippo Berio Puro Botella 1 L,S/. 35.17,25 %,Filippo Berio,Metro
Aceite de Oliva Fat Free Pam Spray 141 g,S/26.40,0,Pam,Metro
Aceite de Oliva La Española Extra Virgen Botella 250 ml,S/. 15.90,0,La Española,Metro
Pack Futbolero Frito Lays,S/35.00,46 %,Frito Lays,Metro
Golosinas Que Viva el Perú 206.5g,S/11.90,20 %,Skittles,Metro
Longan en Conserva Kingmax 567g,S/10.03,0,Kingmax,Metro
Castaña de Agua Entera Kingmax 567g,S/6.71,0,Kingmax,Metro
Galletas Morochas Fiesta 224g,S/8.90,11 %,Morochas,Metro
Pack Tiyapuy Lonchera 6un,S/12.90,0,Tiyapuy,Metro
Aceite de Soya Costeño 900ml,S/9.90,9 %,Costeño,Metro
Pastina Multicereal Codo Grano de Oro 225g,S/1.50,0,Grano de Oro,Metro
Tallarín Multicereal Grano de Oro 450g,S/3.10,0,Grano de Oro,Metro
Salsa Sweet Baby Ray's Secret Sauce 414ml,S/25.90,0,Sweet Baby Ray's,Metro
Salsa Sweet Baby Ray's Cream Buffalo 414ml,S/25.90,0,Sweet Baby Ray's,Metro
Salsa Sweet Baby Ray's Honey Mustard 414ml,S/25.90,0,Sweet Baby Ray's,Metro
Salsa Sweet Baby Ray's Chicken 414ml,S/25.90,0,Sweet Baby Ray's,Metro
Galletas Multigrano Leonor 180g,S/14.90,0,Leonor,Metro
Galletas con Avena Leonor Chochochip 180g,S/14.90,0,Leonor,Metro
Papas Lays Ondas Flamin' Hot 90g,S/5.10,0,Lay's,Metro
Filete de Caballa Marinero 140g,S/5.20,5 %,Marinero,Metro
Chocolate con Leche Vizzio Crunch 10un,S/9.90,25 %,Vizzio,Metro
Chocolate con Leche Vizzio Maní 10un,S/9.90,30 %,Vizzio,Metro
Chocolate con Leche Vizzio 10un,S/9.90,25 %,Vizzio,Metro
Duraznos en Mitades en Conserva Del Rio 820g,S/12.50,0,Del Río,Metro
Pack Galletas Oreo: Original 432g + Chocolate 216g + Cookies 216g,S/15.00,20 %,Oreo,Metro
Cheetos Queso Picante 90g,S/4.99,0,Frito Lays,Metro
Doritos Queso Fuego 90g,S/5.10,0,Frito Lays,Metro
Doritos Queso Atrevido 90g,S/4.99,0,Frito Lays,Metro
Aceite de Coco Olivos del Sur 350ml,S/25.90,0,Olivos del Sur,Metro
Aceite de Coco Olivos del Sur 200ml,S/16.60,10 %,Olivos del Sur,Metro
Aceite de Oliva Olivos del Sur Extra Virgen 250ml,S/22.90,0,Olivos del Sur,Metro
Tuco con Carne B&D 230g,S/7.20,0,B&D,Metro
Mayonesa B&D 400g,S/13.70,0,B&D,Metro
Mostaza B&D 1kg,S/11.70,0,B&D,Metro
Hummus Tradicional Olivos del Sur 220g,S/19.90,0,Olivos del Sur,Metro
Palmito Entero Olivos del Sur 200g,S/15.20,0,Olivos del Sur,Metro
Hummus de Alcachofa Olivos del Sur 220g,S/19.90,0,Olivos del Sur,Metro
Palmito Entero Olivos del Sur 410g,S/21.20,0,Olivos del Sur,Metro
Pepinillos en Rodajas Olivos del Sur 520g,S/20.90,0,Olivos del Sur,Metro
Tapenade Tradicional Olivos del Sur 260g,S/14.80,0,Olivos del Sur,Metro
