Lista de Productos,Precios,Descuento,Marca,Supermercado
Aceite Vegetal Primor Clásico 1.8L,S/20.90,0,Primor,Metro
Alverja Verde Tesoro del Campo Bolsa 350 g,S/2.85,0,Tesoro del Campo,Metro
Pecanas Peladas Cuisine&Co Pote 100 g,S/13.30,0,Cuisine & Co,Metro
Macaroni & Cheese Cuisine & Co Sabor Original Caja 226g,S/6.40,0,Cuisine & Co,Metro
Sillau Kikko Botella 1 Litro,S/6.90,0,Kikko,Metro
Leche Condensada Cuisine & Co Lata 397g,S/5.40,11 %,Cuisine & Co,Metro
Mayonesa Light Cuisine & Co Doypack 475 g,S/10.16,20 %,Cuisine & Co,Metro
Arroz Extra Añejo Cuisine&Co Bolsa 5 kg,S/. 20.90,12 %,Cuisine & Co,Metro
Salsa De Culantro Con Espinaca Culantrito Sibarita Doypack 250 g,S/3.90,0,Sibarita,Metro
Kétchup Cuisine & Co 380g,S/6.64,20 %,Cuisine & Co,Metro
Mayonesa Tradicional Cuisine & Co 475g,S/10.16,20 %,Cuisine & Co,Metro
Papas Inka Chips Sabor Jalapeño 135g,S/5.50,31 %,Inka Chips,Metro
Pastina Tornillo de Colores Don Vittorio 250g,S/2.30,0,Don Vittorio,Metro
Maní Salado Cuisine & Co 200g,S/6.50,0,Cuisine & Co,Metro
Caldo Concentrado Sabor Tocino Doña Gusta  Caja 42 g,S/1.70,0,Doña Gusta,Metro
Solido de Atún en Agua y Sal Metro Lata 120 g,S/4.48,20 %,Metro,Metro
Papas en Hojuelas Lay's Clásicas 150g + Piqueo Snax Original 200g,S/13.90,0,Frito Lays,Metro
Pallar Cuisine & Co Bolsa 500 gr,S/5.52,20 %,Cuisine & Co,Metro
Frijol Panamito Cuisine & Co Bolsa 500 gr,S/5.20,0,Cuisine & Co,Metro
Frijol Canario Cuisine & Co 500g,S/7.10,0,Cuisine & Co,Metro
Papa Seca Máxima Bolsa 500 g,S/5.50,0,Máxima,Metro
Pastina Corbata Chica Don Vittorio 235g,S/2.30,0,Don Vittorio,Metro
Arroz Faraón Extra Añejo Naranja Bolsa 750 g,S/. 4.00,0,Faraon,Metro
Lomito de Atún Primor 170g,S/6.70,0,Primor,Metro
Arroz Extra Metro 750g,S/. 3.70,0,Metro,Metro
Bombones con Rellenos Surtidos Nestlé Multipack 45un,S/17.90,20 %,Nestlé,Metro
Papas Pringles Original 124g,S/9.90,0,Pringles,Metro
Papas al Hilo Villa Natura 150g,S/5.70,20 %,Villa Natura,Metro
Garbanzo Maixma Bolsa 500 g,S/4.90,0,Máxima,Metro
Pallar Maxima Bolsa 500 g,S/5.90,0,Máxima,Metro
Arroz Familiar Maxima Bolsa 5 kg,S/. 16.20,0,Máxima,Metro
Aceite Vegetal Cocinero 900ml,S/9.60,13 %,Cocinero,Metro
Panquita Sibarita Doypack 250 gr,S/9.40,0,Sibarita,Metro
Amarillin 250g,S/7.92,20 %,Sibarita,Metro
Ajo Molido Sibarita Ajo Siba 250g,S/9.90,0,Sibarita,Metro
Esencia de Vainilla Universal Frasco 100 ml,S/2.60,0,Universal,Metro
Chuño Universal Bolsa 180 g,S/3.10,0,Universal,Metro
Polvo para Hornear Royal Sobre 20 g,S/1.04,20 %,Royal,Metro
Galletas Rellenitas GN Chocolate Paquete 288 g,S/4.40,0,GN,Metro
Harina de Maiz Blanco Precocida P.A.N Contenido 1 kg,S/8.50,25 %,P.A.N.,Metro
Trozos de Atún en Aceite Vegetal Florida 150g,S/5.80,9 %,Florida,Metro
Cubito Sabor Gallina Maggi 25un.,S/5.60,0,Maggi,Metro
Papas Inka Chips Sabor BBQ y Cebolla 135g,S/5.50,31 %,Inka Chips,Metro
Papas Inka Chips Sabor Queso y Cebolla 135g,S/5.50,31 %,Inka Chips,Metro
Chocolate Chocman 6un,S/. 4.10,0,Costa,Metro
Leche Condensada Gloria Doy Pack 200 g,S/4.40,0,Gloria,Metro
Sixpack Galletas Morochas Doble Placer 34.4g,S/4.90,28 %,Nestlé,Metro
Salsa a la Bolognesa Molitalia Pomarola 370g,S/7.20,0,Molitalia,Metro
Gelatina Universal de Uva Sobre 130g,S/3.75,0,Universal,Metro
Gelatina Universal de Naranja Sobre 130g,S/3.75,0,Universal,Metro
Gelatina en Polvo Sabor a Piña Royal Sobre 160 g,S/3.00,20 %,Royal,Metro
Gelatina en Polvo Sabor a Naranja Royal Sobre 160 g,S/3.00,20 %,Royal,Metro
Gelatina Diet Universal Piña Caja 19 g,S/3.50,0,Universal,Metro
Mezcla para Apanar Ajinomix Ajinomoto Crocante Bolsa 96 g,S/3.10,0,Ajinomoto,Metro
Orégano Molido Sibarita Pack 6 Unid x 3.5 g,S/1.99,0,Sibarita,Metro
Orégano Entero Sibarita Sobre 9 g,S/1.99,0,Sibarita,Metro
Vinagre Blanco Venturo Botella Plástica 600 ml,S/5.20,0,Venturo,Metro
Vinagre Blanco Florida Botella Plástica 625 ml,S/3.40,0,Florida,Metro
Sazonador Deli Arroz Pack 6 Unid,S/1.70,0,Deli Arroz,Metro
Sazonador Ajinomoto Sobre 100 g,S/3.20,0,Ajinomoto,Metro
Sazonador Ajinomoto Bolsa 500 g,S/11.50,0,Ajinomoto,Metro
Salsa Roja Completa Don Vittorio 200g,S/3.90,0,Don Vittorio,Metro
Concentrado de Tomate Molitalia 110g,S/2.10,0,Molitalia,Metro
Mayonesa Light AlaCena 400g,S/13.90,0,AlaCena,Metro
Mayonesa AlaCena 190g,S/9.90,0,AlaCena,Metro
Comino Molido Sibarita Sobre 6 Unid,S/3.90,0,Sibarita,Metro
Ajo Molido Piki 350g,S/11.50,0,Piki,Metro
Ají Especial Panquita Sin Picante Sibarita Pack 3 Unid x 31.2 g,S/3.60,0,Sibarita,Metro
Tortillas de Maíz Tostitos Original 200g,S/6.50,30 %,Frito Lays,Metro
Papas al Hilo Lays 155g,S/5.90,0,Frito Lays,Metro
Galletas Integrackers Integrackers Miel 30g 9un,S/10.00,0,Victoria,Metro
Wafers Nik Costa Vainilla Pack 6un,S/. 4.20,0,Costa,Metro
Wafers Nik Costa Chocolate Pack 6un,S/. 4.20,0,Costa,Metro
Sixpack Galletas Oreo Original 36g,S/3.84,20 %,Oreo,Metro
Sixpack Galletas Marquesitas Vainilla 46g,S/5.80,0,Victoria,Metro
Sixpack Galletas Tentación Sabor Chocolate 47g,S/4.50,0,Victoria,Metro
Sixpack Galletas Glacitas Toffee 32g,S/5.00,0,Victoria,Metro
Sixpack Galletas Casino Menta 47g,S/4.60,0,Victoria,Metro
Sixpack Galletas Casino Fresa 47g,S/4.60,0,Victoria,Metro
Galletas Saladas Ritz Mini Paquete 50 g,S/1.20,20 %,Ritz,Metro
Sixpack Galletas Bañadas en Chocolate ChokoSoda Field 36g,S/4.80,20 %,Field,Metro
Sixpack Galleta Costa Soda Light 40g,S/4.60,0,Costa,Metro
Galletas Animalitos Vainilla Bolsa 150 g,S/1.80,0,San Jorge,Metro
Tallarín Molitalia 450g,S/3.70,5 %,Molitalia,Metro
Spaghetti Nro 32 Molitalia 450g,S/3.70,5 %,Molitalia,Metro
Pastina Corta Molitalia Macarrón 235g,S/2.10,0,Molitalia,Metro
Pastina Letras Molitalia Bolsa 250 g,S/2.10,0,Molitalia,Metro
Pastina Fusilli Tricolor Molitalia Bolsa 250 g,S/2.75,0,Molitalia,Metro
Pastina Canuto Chico Don Vittorio 235g,S/2.30,0,Don Vittorio,Metro
Cabello de Ángel Nro 24 Molitalia Bolsa 250 g,S/2.10,0,Molitalia,Metro
Trozos de Atún en Aceite Vegetal Campomar 150g,S/5.40,11 %,Campomar,Metro
Sopa Instantánea Ajinomen Sabor Pollo 80g,S/1.60,0,Ajinomen,Metro
Sopa de Oriental con Fideos Ajinomen Sobre 80 g,S/1.60,0,Ajinomen,Metro
